T;Ax;Ay;Az;CLASS
7695.00;0.09;-0.13;1.54;Positive
7760.00;0.35;0.19;2.00;Positive
7810.00;0.11;0.04;2.00;Positive
7860.00;-0.04;0.07;0.91;Positive
7910.00;-0.17;-0.17;-0.63;Positive
7962.00;-0.14;-0.28;-0.46;Positive
8012.00;-0.05;-0.35;0.12;Positive
8061.00;0.10;0.09;2.00;Positive
8111.00;0.20;0.12;2.00;Positive
8161.00;0.10;0.13;1.84;Positive
8210.00;0.01;0.07;0.38;Positive
8260.00;-0.10;-0.16;-0.59;Positive
8310.00;-0.13;-0.25;-0.29;Positive
8361.00;-0.25;-0.27;0.28;Positive
8411.00;0.15;0.15;2.00;Positive
8462.00;0.13;-0.01;2.00;Positive
8509.00;0.01;-0.01;1.35;Positive
8560.00;0.06;0.05;0.06;Positive
8627.00;-0.13;-0.23;-0.61;Positive
8676.00;-0.17;-0.30;-0.25;Positive
8727.00;0.09;-0.06;1.15;Positive
8776.00;0.31;0.28;2.00;Positive
8826.00;0.16;0.12;2.00;Positive
8876.00;0.09;0.18;1.07;Positive
8926.00;0.03;-0.15;-0.48;Positive
8976.00;-0.10;-0.29;-0.77;Positive
9026.00;0.20;-0.01;-0.10;Positive
9075.00;-0.03;0.30;2.00;Positive
9126.00;-0.31;0.22;2.00;Positive
9176.00;-0.18;0.17;2.00;Positive
9227.00;0.09;0.24;0.72;Positive
9275.00;-0.04;-0.05;-0.15;Positive
9326.00;-0.19;-0.17;-1.03;Positive
9393.00;-0.35;-0.31;-0.01;Positive
9442.00;0.25;0.30;2.00;Positive
9492.00;0.33;0.10;2.00;Positive
9542.00;0.29;0.11;1.70;Positive
9593.00;0.14;-0.04;0.30;Positive
9642.00;-0.32;-0.27;-0.98;Positive
9693.00;-0.39;-0.17;-0.74;Positive
9742.00;0.06;0.16;0.77;Positive
9792.00;0.28;0.29;2.00;Positive
9841.00;0.29;0.18;2.00;Positive
9892.00;0.17;0.05;1.62;Positive
9942.00;0.14;-0.00;0.57;Positive
9992.00;-0.35;-0.37;-0.59;Positive
10041.00;-0.29;-0.29;-1.01;Positive
10092.00;-0.18;-0.03;-0.11;Positive
10142.00;0.39;0.70;2.00;Positive
10192.00;0.12;0.20;2.00;Positive
10258.00;0.19;0.32;1.84;Positive
10294.00;0.06;0.17;0.49;Positive
10360.00;0.10;-0.09;-0.43;Positive
10408.00;-0.32;-0.58;-0.86;Positive
10460.00;-0.65;-0.55;-0.27;Positive
10508.00;0.14;0.40;1.56;Positive
10558.00;0.42;0.26;2.00;Positive
10608.00;0.03;-0.01;2.00;Positive
10659.00;0.11;0.20;0.92;Positive
10708.00;-0.14;-0.31;-0.84;Positive
10759.00;-0.37;-0.37;-0.87;Positive
10808.00;-0.75;-0.23;-0.24;Positive
10859.00;-0.17;0.52;1.78;Positive
10908.00;0.87;0.56;2.00;Positive
10958.00;2.00;0.38;2.00;Positive
11007.00;1.25;0.37;0.44;Positive
11075.00;-1.35;-0.24;1.04;Positive
11125.00;-2.00;0.30;0.64;Positive
11174.00;-1.70;-0.11;0.29;Positive
11225.00;0.54;0.50;1.74;Positive
11274.00;1.78;-0.30;2.00;Positive
11327.00;1.46;0.13;1.25;Positive
11374.00;0.16;-0.28;0.83;Positive
11424.00;-1.52;0.24;0.72;Positive
11473.00;-2.00;-0.15;0.25;Positive
11524.00;-0.20;0.27;1.17;Positive
11573.00;1.65;0.06;1.40;Positive
11624.00;2.00;-0.01;2.00;Positive
11674.00;0.37;-0.02;1.48;Positive
11724.00;-1.61;0.58;0.53;Positive
11774.00;-2.00;0.02;0.65;Positive
11824.00;-0.46;0.33;1.63;Positive
11890.00;1.71;-0.08;2.00;Positive
11940.00;1.35;0.20;1.87;Positive
11990.00;0.56;0.24;0.11;Positive
12040.00;0.26;0.37;-0.54;Positive
12090.00;-1.18;-0.27;-1.02;Positive
12140.00;-1.34;-0.40;0.78;Positive
12190.00;-0.91;-0.33;1.61;Positive
12240.00;0.53;-0.11;2.00;Positive
12290.00;0.82;0.26;2.00;Positive
12339.00;-0.33;0.25;0.55;Positive
12390.00;0.07;-0.71;-0.38;Positive
12440.00;0.38;-0.20;-0.06;Positive
12490.00;0.10;-0.34;0.39;Positive
12540.00;-0.38;-0.11;0.83;Positive
12590.00;-1.17;-0.24;1.93;Positive
12640.00;-0.61;-0.28;1.76;Positive
12691.00;-0.22;-0.03;0.16;Positive
12756.00;-0.65;-0.35;-0.05;Positive
12806.00;-1.17;-0.63;0.65;Positive
12856.00;-0.09;0.23;1.48;Positive
12906.00;-0.71;-0.14;1.26;Positive
12956.00;0.42;-0.38;-0.45;Positive
13006.00;0.05;-0.04;0.69;Positive
13056.00;-0.61;-0.05;2.00;Positive
13106.00;-0.19;0.06;1.70;Positive
13156.00;-0.06;0.05;1.30;Positive
13206.00;-0.45;-0.33;1.69;Positive
13257.00;-0.28;0.42;0.79;Positive
13307.00;-0.54;0.27;-0.65;Positive
13356.00;-1.47;0.18;0.32;Positive
13406.00;-1.26;-0.01;1.48;Positive
13457.00;-1.08;-0.08;1.90;Positive
13506.00;-0.47;0.71;2.00;Positive
13557.00;0.65;1.14;1.88;Positive
13624.00;0.92;0.58;1.75;Positive
13673.00;-0.06;0.40;0.37;Positive
13726.00;-0.76;0.18;-0.17;Positive
13772.00;-1.90;0.25;0.10;Positive
13823.00;-1.92;0.44;1.49;Positive
13872.00;-0.70;1.05;2.00;Positive
13922.00;0.43;1.31;2.00;Positive
13972.00;-0.09;0.71;2.00;Positive
14022.00;0.29;0.88;0.85;Positive
14072.00;-0.28;0.46;0.04;Positive
14122.00;-1.31;-0.27;-0.23;Positive
14172.00;-1.82;-0.13;0.86;Positive
14222.00;-1.49;-0.04;2.00;Positive
14271.00;-0.13;1.44;2.00;Positive
14322.00;0.51;0.82;2.00;Positive
14373.00;0.33;0.51;1.27;Positive
14438.00;0.31;0.26;0.04;Positive
14488.00;-0.88;-0.00;-0.65;Positive
14538.00;-2.00;0.09;0.79;Positive
14588.00;-1.71;0.16;1.73;Positive
14638.00;-0.95;0.75;2.00;Positive
14688.00;-0.14;0.92;2.00;Positive
14738.00;0.44;0.56;1.87;Positive
14789.00;0.55;0.63;0.45;Positive
14839.00;-0.12;0.34;-0.88;Positive
14889.00;-2.00;-0.13;0.03;Positive
14938.00;-2.00;0.08;0.85;Positive
14988.00;-1.51;0.15;1.71;Positive
15039.00;-0.09;0.94;2.00;Positive
15090.00;0.28;0.32;2.00;Positive
15139.00;0.36;0.33;1.03;Positive
15188.00;0.21;0.08;0.43;Positive
15254.00;-0.37;0.15;-0.08;Positive
15304.00;-1.06;-0.08;0.24;Positive
15355.00;-1.38;-0.01;1.16;Positive
15404.00;-1.02;0.07;1.88;Positive
15454.00;-0.21;0.56;2.00;Positive
15504.00;0.54;0.28;2.00;Positive
15554.00;0.62;0.02;1.50;Positive
15604.00;0.60;0.31;0.22;Positive
15654.00;-0.15;0.34;0.03;Positive
15704.00;-1.83;-0.25;0.37;Positive
15754.00;-1.83;-0.01;0.89;Positive
15804.00;-0.79;-0.10;1.76;Positive
15855.00;0.37;0.21;1.94;Positive
15903.00;0.69;-0.02;1.73;Positive
15954.00;0.44;0.14;1.48;Positive
16004.00;0.11;0.22;0.72;Positive
16070.00;-0.33;0.40;0.17;Positive
16121.00;-1.72;-0.17;0.18;Positive
16170.00;-1.73;-0.15;0.77;Positive
16222.00;-1.25;-0.27;1.61;Positive
16270.00;0.21;0.63;2.00;Positive
16321.00;0.47;-0.22;2.00;Positive
16370.00;0.07;0.26;0.81;Positive
16420.00;-0.11;0.22;-0.05;Positive
16470.00;-1.15;-0.13;0.35;Positive
16521.00;-1.24;0.09;0.86;Positive
16570.00;-0.67;-0.09;1.59;Positive
16620.00;0.07;-0.01;1.47;Positive
16670.00;0.03;-0.16;1.03;Positive
16720.00;-0.14;0.13;0.59;Positive
16769.00;-0.25;0.02;0.73;Positive
16820.00;-0.26;0.14;1.02;Positive
16886.00;-0.44;0.04;1.17;Positive
16936.00;-2.00;-1.30;2.00;Positive
16987.00;-1.14;0.12;1.92;Positive
17036.00;-0.11;0.28;1.71;Positive
