T;Ax;Ay;Az;CLASS
7750.00;-0.11;-0.02;0.06;Positive
7797.00;-0.18;-0.00;0.07;Positive
7847.00;-0.20;-0.02;0.29;Positive
7895.00;-0.17;-0.05;0.52;Positive
7947.00;-0.09;0.03;0.88;Positive
7995.00;-0.18;0.01;1.67;Positive
8047.00;0.03;-0.03;2.00;Positive
8094.00;0.27;-0.11;2.00;Positive
8147.00;0.17;-0.06;1.62;Positive
8194.00;0.08;-0.03;0.98;Positive
8247.00;0.07;-0.03;0.62;Positive
8296.00;-0.03;-0.05;0.42;Positive
8347.00;-0.09;-0.07;0.17;Positive
8414.00;-0.22;-0.08;0.04;Positive
8461.00;-0.16;-0.11;0.21;Positive
8512.00;0.03;-0.06;0.69;Positive
8561.00;0.02;-0.02;1.41;Positive
8611.00;-0.05;-0.10;1.74;Positive
8661.00;-0.10;0.03;2.00;Positive
8712.00;0.06;0.05;1.84;Positive
8759.00;0.07;0.04;1.17;Positive
8810.00;0.08;-0.01;0.81;Positive
8859.00;0.03;-0.05;0.78;Positive
8911.00;-0.09;-0.01;0.76;Positive
8961.00;-0.13;0.23;0.85;Positive
9011.00;-0.12;0.33;0.90;Positive
9059.00;-0.13;0.06;1.01;Positive
9125.00;0.18;-0.44;1.08;Positive
9176.00;0.13;-0.96;1.13;Positive
9225.00;0.08;-0.99;1.00;Positive
9276.00;-0.01;-0.50;0.98;Positive
9324.00;0.08;-0.01;0.95;Positive
9375.00;-0.01;0.49;0.93;Positive
9425.00;-0.03;0.99;1.05;Positive
9475.00;-0.03;1.06;1.03;Positive
9524.00;0.02;0.71;1.02;Positive
9574.00;0.11;0.12;0.99;Positive
9624.00;0.17;-0.47;1.07;Positive
9676.00;0.12;-0.98;1.09;Positive
9724.00;0.10;-1.34;1.01;Positive
9776.00;0.11;-0.94;0.90;Positive
9824.00;0.09;-0.37;1.04;Positive
9875.00;0.05;0.15;0.88;Positive
9941.00;0.05;0.75;1.13;Positive
9976.00;0.12;1.15;1.20;Positive
10042.00;0.07;0.77;1.03;Positive
10091.00;0.04;0.36;0.95;Positive
10141.00;0.12;-0.30;0.99;Positive
10191.00;0.09;-0.87;1.03;Positive
10240.00;-0.07;-1.15;1.01;Positive
10291.00;-0.01;-0.90;0.94;Positive
10342.00;0.02;-0.37;0.95;Positive
10392.00;0.01;0.13;0.94;Positive
10441.00;0.02;0.51;1.00;Positive
10490.00;0.16;0.89;1.09;Positive
10542.00;0.32;0.80;1.11;Positive
10590.00;0.45;0.23;1.09;Positive
10640.00;0.01;-0.12;1.09;Positive
10690.00;-0.62;-0.54;0.95;Positive
10742.00;-0.86;-0.53;1.05;Positive
10807.00;-0.64;-0.26;1.02;Positive
10857.00;-0.11;-0.04;1.03;Positive
10907.00;0.12;-0.07;0.95;Positive
10956.00;0.47;0.04;0.95;Positive
11006.00;0.72;0.06;0.95;Positive
11057.00;0.72;0.15;1.02;Positive
11106.00;0.65;0.12;1.00;Positive
11156.00;0.36;0.04;0.97;Positive
11206.00;0.01;-0.07;1.03;Positive
11256.00;-0.27;-0.04;1.08;Positive
11308.00;-0.49;-0.09;1.10;Positive
11356.00;-0.74;-0.05;1.11;Positive
11408.00;-0.69;-0.10;0.98;Positive
11457.00;-0.52;-0.08;1.02;Positive
11508.00;-0.08;-0.10;1.07;Positive
11558.00;0.14;-0.03;1.00;Positive
11608.00;0.51;-0.02;0.93;Positive
11674.00;0.78;0.22;0.94;Positive
11726.00;0.88;0.26;1.08;Positive
11774.00;0.89;0.00;1.00;Positive
11822.00;0.42;-0.09;0.92;Positive
11874.00;0.08;-0.17;0.90;Positive
11923.00;-0.42;0.03;1.13;Positive
11975.00;-0.57;-0.16;1.06;Positive
12023.00;-0.80;-0.11;1.06;Positive
12074.00;-0.65;-0.08;1.02;Positive
12124.00;-0.50;-0.02;0.98;Positive
12175.00;-0.21;-0.05;1.04;Positive
12224.00;-0.00;-0.10;1.04;Positive
12275.00;0.25;-0.04;0.93;Positive
12324.00;0.76;0.07;0.83;Positive
12373.00;0.92;0.22;1.11;Positive
12439.00;0.82;0.15;1.13;Positive
12488.00;0.65;0.02;0.91;Positive
12538.00;0.31;-0.09;0.91;Positive
12588.00;-0.09;-0.20;1.02;Positive
12639.00;-0.30;-0.30;1.00;Positive
12688.00;-0.63;-0.19;1.11;Positive
12741.00;-0.71;-0.27;1.11;Positive
12789.00;-0.39;-0.29;1.03;Positive
12841.00;-0.14;0.15;0.97;Positive
12891.00;0.27;1.11;1.04;Positive
12940.00;0.24;0.56;0.76;Positive
12989.00;0.16;-0.21;0.90;Positive
13041.00;0.33;-0.84;1.13;Positive
13091.00;0.31;-1.04;1.21;Positive
13142.00;0.20;-0.81;1.08;Positive
13190.00;0.18;-0.37;0.91;Positive
13246.00;0.13;-0.06;0.98;Positive
13292.00;0.05;0.34;1.09;Positive
13341.00;-0.06;0.68;1.10;Positive
13392.00;-0.27;0.99;0.90;Positive
13459.00;-0.12;0.80;0.88;Positive
13507.00;0.03;0.29;1.04;Positive
13556.00;0.10;-0.31;1.03;Positive
13601.00;0.14;-0.77;1.06;Positive
13660.00;0.21;-1.11;1.09;Positive
13708.00;0.23;-0.96;1.05;Positive
13761.00;0.12;-0.45;0.94;Positive
13810.00;0.09;0.07;0.94;Positive
13862.00;0.02;0.67;1.01;Positive
13912.00;0.10;1.06;1.09;Positive
13962.00;0.07;0.79;1.04;Positive
14012.00;-0.09;0.45;0.87;Positive
14061.00;-0.03;0.06;0.96;Positive
14112.00;-0.03;-0.38;0.98;Positive
14160.00;-0.05;-0.94;0.87;Positive
14212.00;0.26;-1.23;1.14;Positive
14262.00;0.14;-0.42;1.11;Positive
14311.00;0.06;0.46;0.91;Positive
14361.00;0.23;0.93;0.90;Positive
14427.00;0.08;0.47;0.93;Positive
14475.00;-0.32;-0.04;0.95;Positive
14529.00;-0.36;-0.11;1.42;Positive
14575.00;0.12;-0.32;2.00;Positive
14628.00;0.33;-0.19;1.66;Positive
14676.00;0.09;0.01;0.79;Positive
14729.00;-0.03;-0.08;0.52;Positive
14779.00;-0.05;-0.01;0.40;Positive
14829.00;-0.12;0.07;0.15;Positive
14878.00;-0.19;0.10;0.20;Positive
14927.00;-0.13;0.07;0.73;Positive
14976.00;-0.00;-0.04;1.10;Positive
15028.00;0.05;-0.14;1.70;Positive
15077.00;0.04;-0.13;2.00;Positive
15129.00;0.24;-0.07;1.92;Positive
15177.00;0.13;0.06;1.34;Positive
15229.00;-0.00;0.02;0.82;Positive
15295.00;-0.06;-0.08;0.58;Positive
15344.00;-0.10;-0.04;0.39;Positive
15394.00;-0.09;-0.02;0.18;Positive
15442.00;-0.13;-0.04;0.23;Positive
15493.00;-0.13;0.15;0.45;Positive
15541.00;-0.09;-0.28;1.25;Positive
15593.00;-0.15;-0.03;1.72;Positive
15642.00;-0.12;-0.21;1.75;Positive
15694.00;0.13;-0.24;2.00;Positive
15745.00;0.15;-0.09;1.74;Positive
15793.00;0.10;-0.03;1.24;Positive
15842.00;0.05;-0.02;0.86;Positive
15893.00;0.04;0.05;0.54;Positive
15943.00;-0.10;0.06;0.20;Positive
15992.00;-0.15;-0.02;0.07;Positive
16044.00;-0.26;-0.05;0.13;Positive
16095.00;-0.21;0.02;0.55;Positive
16161.00;0.07;-0.22;1.22;Positive
16209.00;0.08;-0.07;1.36;Positive
16259.00;0.02;-0.14;2.00;Positive
16308.00;0.08;-0.18;1.97;Positive
16359.00;0.18;-0.16;1.76;Positive
16408.00;0.12;-0.03;1.36;Positive
16461.00;0.07;0.01;0.86;Positive
16508.00;-0.05;0.04;0.39;Positive
16560.00;-0.11;0.13;0.10;Positive
16609.00;-0.13;0.04;-0.00;Positive
16658.00;-0.14;0.09;0.18;Positive
16707.00;-0.00;0.03;0.66;Positive
16760.00;0.16;-0.22;1.35;Positive
16825.00;0.16;-0.46;1.90;Positive
16860.00;0.24;-0.38;2.00;Positive
16925.00;0.23;-0.25;1.92;Positive
16973.00;0.10;-0.01;1.50;Positive
17025.00;0.08;0.04;1.06;Positive
17074.00;-0.04;0.02;0.62;Positive
17128.00;-0.09;-0.01;0.32;Positive
17176.00;-0.17;0.03;0.10;Positive
17226.00;-0.15;0.06;0.06;Positive
17276.00;-0.13;0.06;0.48;Positive
17326.00;0.10;-0.10;1.01;Positive
17373.00;-0.00;-0.12;1.57;Positive
17426.00;0.13;-0.14;1.97;Positive
17475.00;0.20;-0.10;1.98;Positive
17526.00;0.24;0.02;1.52;Positive
17575.00;0.10;0.10;0.93;Positive
17625.00;-0.02;0.08;0.51;Positive
17692.00;0.06;0.13;0.31;Positive
17741.00;-0.17;0.47;0.35;Positive
17794.00;-0.19;0.14;0.60;Positive
17840.00;-0.00;-0.34;1.11;Positive
17894.00;0.15;-0.86;1.56;Positive
17941.00;0.12;-1.03;1.54;Positive
17987.00;0.15;-0.50;1.06;Positive
18042.00;0.11;0.52;0.91;Positive
18092.00;0.30;1.02;0.94;Positive
18143.00;0.13;1.12;0.96;Positive
18191.00;0.06;0.44;1.00;Positive
18241.00;0.09;-0.44;1.06;Positive
18291.00;0.11;-1.17;0.52;Positive
18340.00;0.05;-1.12;1.10;Positive
18395.00;0.08;-0.51;0.93;Positive
18440.00;0.32;0.35;1.15;Positive
18506.00;0.29;1.14;1.29;Positive
18557.00;-0.03;1.03;0.85;Positive
18605.00;-0.22;0.48;0.73;Positive
18658.00;0.02;-0.28;0.93;Positive
18707.00;0.20;-0.97;1.15;Positive
18756.00;0.12;-1.03;1.25;Positive
18805.00;0.08;-0.55;1.23;Positive
18856.00;0.12;0.32;0.98;Positive
18906.00;0.17;0.78;0.80;Positive
18958.00;0.09;1.06;0.93;Positive
19006.00;0.03;0.69;1.04;Positive
19058.00;0.05;0.23;1.29;Positive
19108.00;0.04;-0.45;1.50;Positive
19158.00;-0.01;-0.72;1.42;Positive
19205.00;-0.10;-0.71;0.99;Positive
19258.00;-0.04;-0.53;0.61;Positive
19307.00;0.06;-0.03;0.50;Positive
19357.00;0.21;0.30;0.46;Positive
19423.00;0.06;0.66;0.60;Positive
19471.00;-0.06;0.72;0.94;Positive
19524.00;0.08;0.54;2.00;Positive
19571.00;-0.14;0.16;1.54;Positive
19624.00;-0.06;-0.31;1.57;Positive
19671.00;-0.00;-0.56;1.44;Positive
19722.00;-0.01;-0.64;1.18;Positive
19772.00;0.07;-0.52;0.85;Positive
19824.00;0.07;-0.34;0.72;Positive
19872.00;0.15;-0.09;0.70;Positive
19922.00;0.21;0.23;0.69;Positive
19971.00;0.11;0.55;0.91;Positive
20023.00;0.02;0.53;1.02;Positive
20073.00;-0.16;0.40;1.21;Positive
20122.00;-0.33;0.04;1.21;Positive
20191.00;-0.37;-0.34;1.27;Positive
20238.00;-0.32;-0.60;1.08;Positive
20293.00;-0.26;-0.54;1.05;Positive
20339.00;-0.14;-0.26;1.15;Positive
20390.00;-0.06;-0.05;0.97;Positive
20438.00;-0.04;0.07;1.04;Positive
20490.00;-0.01;0.19;0.67;Positive
20537.00;-0.11;0.14;0.76;Positive
20590.00;-0.09;0.22;0.72;Positive
20639.00;0.13;0.23;0.85;Positive
20690.00;-0.02;0.23;0.99;Positive
20738.00;0.05;0.25;0.94;Positive
20789.00;0.14;-0.07;0.91;Positive
20837.00;0.27;0.26;0.21;Positive
